sound,speaker,audience,MEAN_MELODIC,MEAN_RHYTHMIC,MEAN_PLEASANT,MEAN_MUSICAL,Language,Sex,Audience,Text,Syllables.A,Syllables.M,Length,Tempo,F0_mean,F0_stdev,F0_min,F0_max,F0_stability,Spectral_Centroid,Spectral_Bandwidth,Spectral.Contrast,Spectral.Flatness,Spectral.Rolloff,Chroma_C,Chroma_Cs,Chroma_D,Chroma_Ds,Chroma_E,Chroma_F,Chroma_Fs,Chroma_G,Chroma_Gs,Chroma_A,Chroma_As,Chroma_B,Chroma_whitekey,MFCC_01_mean,MFCC_02_mean,MFCC_03_mean,MFCC_04_mean,MFCC_05_mean,MFCC_06_mean,MFCC_07_mean,MFCC_08_mean,MFCC_09_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_01_stdev,MFCC_02_stdev,MFCC_03_stdev,MFCC_04_stdev,MFCC_05_stdev,MFCC_06_stdev,MFCC_07_stdev,MFCC_08_stdev,MFCC_09_stdev,MFCC_10_stdev,MFCC_11_stdev,MFCC_12_stdev,MFCC_13_stdev,Speaking_Rate,Talker_ID
a_f_deu_02-01-01.wav,female,adult,1.8,2.2,3,2,German,Female,Adult, wenn der Schnee nach einem Sturm erfällt.,11,8,2.0647,161.499,222.2917,25.0681,162.8464,281.899,-8.8607,1988.5206,2112.5002,24.7529,0.0252,3643.3454,0.238,0.1278,0.1254,0.238,0.1218,0.1698,0.2454,0.3269,0.533,0.4719,0.2919,0.3528,0.2581,-293.9666,96.149,-3.0836,25.6441,1.4033,-17.6784,-3.5359,-15.4274,-1.1742,-9.5213,-18.0955,-2.401,-17.7768,58.4759,56.5399,23.7421,24.4661,14.6261,21.4154,13.7016,16.9154,13.7929,17.5069,9.3769,8.8193,12.1705,4.60115271,T1
a_f_deu_02-01-03.wav,female,adult,2.4,2.4,2.8,2.4,German,Female,Adult, schwer und ebenmäßig,7,6,1.764,172.2656,206.1578,16.4885,169.5658,241.1914,-6.298,2062.9599,1937.0455,25.54,0.0203,3683.4527,0.1034,0.1201,0.185,0.1034,0.1357,0.1577,0.3772,0.5469,0.4584,0.4419,0.3091,0.1586,0.247,-326.4891,91.4568,-7.646,39.2097,5.0934,-22.1763,-4.7769,-11.9513,-1.5269,-7.9266,-15.9641,0.21,-19.1648,74.2893,64.21,30.676,29.3819,16.2736,22.8237,12.22,15.1314,10.3808,16.7898,9.499,8.939,14.4622,3.684807256,T1
a_f_deu_02-01-04.wav,female,adult,3,2.6,3.2,2.8,German,Female,Adult, Vertiefungen ausfüllt.,7,6,1.5335,143.5547,245.5314,29.4153,179.6487,316.4209,-11.1466,2167.3728,2113.0768,24.0033,0.0315,3927.3991,0.2204,0.2351,0.2736,0.2204,0.1221,0.0989,0.1356,0.1831,0.2317,0.3894,0.5879,0.3525,0.2343,-314.6593,94.0952,14.0549,25.2403,-0.272,-11.618,2.494,-14.7745,-9.2901,-3.7431,-17.282,-3.7219,-19.4464,59.6661,66.2276,20.835,28.1284,23.8928,20.349,14.7113,15.7095,13.6629,10.9836,9.5305,8.3054,15.3358,4.23866971,T1
a_f_deu_02-01-05.wav,female,adult,2.2,2.2,2.6,2.2,German,Female,Adult, Spitzen und scharfe Ecken glättet.,11,8,2.1048,143.5547,243.2413,30.6779,181.7361,318.2539,-11.0501,2376.0037,2151.8589,22.9766,0.0273,4273.0394,0.4244,0.418,0.2845,0.4244,0.1686,0.1593,0.2089,0.294,0.3272,0.3356,0.4048,0.5031,0.3099,-298.0139,89.309,5.6536,26.1763,4.0856,-8.8453,-9.4528,-6.0652,-1.4881,-1.9486,-13.8379,1.9129,-15.4562,78.4049,64.5598,33.0397,24.3868,19.3754,18.6456,13.4042,15.7006,12.7842,12.4157,8.9837,9.1359,13.5686,4.513492968,T1
a_f_deu_02-01-06.wav,female,adult,2.8,3.2,3.4,3,German,Female,Adult," Da ist es wunderbar zu denken,",10,9,1.8041,172.2656,241.1729,36.0747,165.6929,323.8169,-13.2318,1966.9198,1892.25,23.9764,0.016,3281.0528,0.3172,0.2876,0.1778,0.3172,0.1741,0.1044,0.0777,0.172,0.3341,0.4461,0.4221,0.3302,0.246,-299.8334,110.0623,13.8704,14.4844,-0.5912,-9.2938,-6.7234,-6.0882,-9.164,-6.5703,-11.0016,-4.543,-22.2369,82.9554,58.992,37.7356,18.3155,19.1391,21.3238,12.9017,13.2145,13.8203,14.301,12.1489,10.5426,13.9166,5.265783493,T1
a_f_deu_02-01-07.wav,female,adult,2.6,2.8,3,2.7,German,Female,Adult, Es sei dasselbe Wasser.,7,7,1.4533,143.5547,253.5525,24.3722,191.4337,293.5307,-11.7328,2805.0404,2245.5256,24.2039,0.0185,4480.4443,0.4469,0.4881,0.3121,0.4469,0.0555,0.088,0.0665,0.0947,0.1386,0.1815,0.3947,0.44,0.2313,-274.0719,80.9504,14.4266,-1.7685,-4.5999,-11.8021,-13.0431,-8.2536,-1.2514,0.0986,-16.9714,0.6398,-17.9328,47.708,63.5065,39.8295,17.7075,16.6348,19.335,12.2164,14.7287,9.1722,10.106,7.9535,7.3148,11.8991,4.816624235,T1
a_f_deu_02-01-08.wav,female,adult,2.4,2.8,3,2.6,German,Female,Adult, dem die kraft verliehen ward zu rauschen und zu springen,15,13,3.2975,129.1992,236.5401,27.7644,177.5852,320.0975,-9.1099,1985.2922,2020.4849,23.8478,0.0279,3587.7629,0.406,0.344,0.2335,0.406,0.1678,0.191,0.2291,0.2225,0.3057,0.4165,0.4329,0.4779,0.3022,-314.4223,99.0253,4.561,20.4439,-1.8617,-7.3949,2.3835,-5.0766,-12.6144,-2.3608,-13.0319,-6.2762,-16.7566,73.2864,58.3975,27.4809,24.222,27.2651,20.5396,14.975,13.2197,12.046,13.8809,10.7591,9.3539,12.4443,4.245640637,T1
a_f_deu_02-01-09.wav,female,adult,2.2,2.6,2.8,2.4,German,Female,Adult," wie ein Rauch im Wasserfall zu sprühen,",10,9,2.4054,99.384,211.6329,26.1415,159.127,261.5062,-7.8726,1807.9477,1932.5051,24.7806,0.0176,3148.9204,0.2648,0.1424,0.1357,0.2648,0.127,0.1687,0.2723,0.4566,0.4569,0.3433,0.3852,0.4598,0.2794,-306.1701,114.9868,4.9363,10.809,0.4962,-8.7167,-1.4163,-2.9648,-16.0732,4.4872,-15.4158,-6.9479,-15.5587,72.6028,54.8588,34.9353,25.7792,32.0735,21.6613,14.2585,15.1247,14.5005,13.4017,10.9497,9.9234,13.7411,3.949447077,T1
a_f_deu_02-01-100.wav,female,adult,2.2,2.4,2.8,2.3,German,Female,Adult, Und gegen 10 Uhr.,6,4,1.343,143.5547,222.2334,34.1388,163.7897,333.3055,-9.8885,1858.1394,1865.9614,24.9558,0.0147,3063.8407,0.126,0.1011,0.1079,0.126,0.0853,0.2061,0.2964,0.2957,0.2239,0.2855,0.4802,0.3869,0.2133,-320.7044,112.3043,21.7027,24.0709,4.4519,-21.2934,8.262,-4.4311,-19.4135,-6.0174,-19.0867,-2.9371,-17.4328,77.7384,60.8149,35.9891,28.5896,21.2714,21.8347,12.2202,15.5258,12.1967,13.8948,10.6002,10.4662,12.3915,3.723008191,T1
a_f_deu_02-01-102.wav,female,adult,2.4,2.8,3.4,2.6,German,Female,Adult, Dann danken sie Gott aus einem aufrichtigen Herzen.,15,15,3.1571,123.0469,246.6773,43.4704,162.8464,333.3055,-10.6372,1988.8814,2037.6595,23.519,0.0208,3552.6619,0.3203,0.3145,0.2661,0.3203,0.2517,0.2598,0.2982,0.2584,0.3148,0.3871,0.4499,0.3803,0.3034,-298.9127,111.8706,8.6497,10.3062,1.6119,-9.2227,3.4105,-4.0576,-13.0018,-1.0109,-16.9893,-4.393,-18.1304,84.7149,55.87,34.771,30.7173,24.2855,19.6443,14.5547,12.8674,13.2475,13.4406,12.2285,12.8242,13.2005,4.751195718,T1
a_f_deu_02-01-106.wav,female,adult,2.2,3,2.8,2.6,German,Female,Adult, und Licht nach Licht.,5,4,1.4633,135.9992,211.8477,21.1343,172.5297,263.0211,-7.3331,1794.843,2010.4728,24.1339,0.0156,3342.3569,0.2129,0.1909,0.1844,0.2129,0.1498,0.1842,0.2936,0.4168,0.3646,0.5006,0.552,0.3562,0.2864,-320.6456,103.9136,1.2567,41.6325,4.4833,-14.1291,13.0366,-15.4157,-6.1695,-11.9362,-17.223,-4.2743,-17.0976,65.2458,55.2987,27.8289,33.6003,16.0396,25.2915,11.9203,15.2707,14.8336,16.5341,11.8278,11.962,13.2032,3.075240894,T1
a_f_deu_02-01-107.wav,female,adult,2.4,2.6,3,2.5,German,Female,Adult," erlosch in der schläfrigen, toten Kälte.",11,10,2.5859,123.0469,253.4704,28.6201,180.6894,298.6616,-7.1437,1759.4674,1960.968,24.6858,0.0196,3173.4558,0.4631,0.3752,0.314,0.4631,0.0996,0.1393,0.1392,0.2618,0.2425,0.1857,0.2404,0.3693,0.2618,-298.091,105.0066,-1.6516,24.8507,5.1389,-18.0424,-1.6394,-7.1632,-9.1043,-0.4557,-15.6059,-2.9201,-15.0438,82.9961,48.8881,28.2856,24.5595,16.2864,21.1435,13.8172,15.5765,16.2302,15.4636,9.509,10.097,10.6037,4.060481844,T1
